run,round,team,rating,points,saldo
2,1,Bayer Leverkusen,1872.46,3,5
2,1,Atalanta,1847.77,1,0
2,1,Sporting CP,1696.39,3,2
2,1,AS Monaco,1592.02,0,-2
2,1,Aston Villa,1577.54,0,-5
2,1,Juventus,1923.47,0,-1
2,1,PAOK,1651.46,1,0
2,1,Galatasaray,1603.61,0,-2
2,1,Bologna,1585.22,3,2
2,1,Girona,1558.26,0,-3
2,1,Maccabi Tel Aviv,1638.29,0,-1
2,1,Arsenal,1824.83,1,0
2,1,Sparta Praha,1582,1,0
2,1,Sturm Graz,1536.49,0,-1
2,1,Shakhtar Donetsk,1704.78,0,-2
2,1,Fenerbahçe,1647,0,-1
2,1,Stuttgart,1543.35,1,0
2,1,Benfica,1749.75,3,3
2,1,Feyenoord,1694.1,0,-2
2,1,Club Brugge,1736.53,3,1
2,1,AC Milan,1863.51,3,1
2,1,Stade Brestois,1529.04,0,-3
2,2,Borussia Dortmund,1902.66,4,1
2,2,Real Madrid,2101.91,6,8
2,2,PSV,1663.51,0,-5
2,2,Manchester City,2003.86,6,4
2,2,Bayern Munich,2060.09,4,1
2,2,Lille,1664.92,1,-2
2,2,Inter,1888.67,4,5
2,2,Atletico Madrid,1931.43,4,4
2,2,PSG,2003.79,3,1
2,2,Celtic,1626.96,3,-4
2,2,Liverpool,1987.9,4,1
2,2,Leipzig,1811.38,6,3
2,2,Young Boys,1629.38,1,-5
2,2,Barcelona,2086.18,4,6
2,2,Bayer Leverkusen,1866.79,3,4
2,2,Atalanta,1854.91,4,1
2,2,Sporting CP,1714.34,6,4
2,2,AS Monaco,1579.22,0,-3
2,2,Aston Villa,1575.99,0,-6
2,2,Juventus,1928.22,3,1
2,2,PAOK,1651.4,2,0
2,2,Galatasaray,1600.17,0,-6
2,2,Bologna,1579.74,3,1
2,2,Girona,1556.24,0,-8
2,2,Maccabi Tel Aviv,1643.97,3,2
2,2,Arsenal,1831.34,4,1
2,2,Sparta Praha,1579.86,1,-3
2,2,Sturm Graz,1552.91,3,0
2,2,Shakhtar Donetsk,1704.84,1,-2
2,2,Fenerbahçe,1640.49,0,-2
2,2,Stuttgart,1556.15,4,1
2,2,Benfica,1733.33,3,2
2,2,Feyenoord,1686.96,0,-3
2,2,Club Brugge,1743.27,6,3
2,2,AC Milan,1863.85,4,1
2,2,Stade Brestois,1523.36,0,-6
2,3,Borussia Dortmund,1904.5,7,3
2,3,Real Madrid,2102.61,9,10
2,3,PSV,1675.63,3,-4
2,3,Manchester City,2005.07,9,7
2,3,Bayern Munich,2066.68,7,4
2,3,Lille,1662.36,2,-2
2,3,Inter,1886.12,5,5
2,3,Atletico Madrid,1935.28,7,5
2,3,PSG,1997.46,3,0
2,3,Celtic,1617.99,3,-6
2,3,Liverpool,1981.31,4,-2
2,3,Leipzig,1814.41,7,3
2,3,Young Boys,1632.9,2,-5
2,3,Barcelona,2092.52,7,7
2,3,Bayer Leverkusen,1854.99,3,3
2,3,Atalanta,1866.71,7,2
2,3,Sporting CP,1723.3,9,6
2,3,AS Monaco,1578.51,0,-5
2,3,Aston Villa,1577.34,1,-6
2,3,Juventus,1930.78,4,1
2,3,PAOK,1648.37,3,0
2,3,Galatasaray,1600.9,1,-6
2,3,Bologna,1578.53,3,-2
2,3,Girona,1552.52,1,-8
2,3,Maccabi Tel Aviv,1635.34,3,0
2,3,Arsenal,1831.88,5,1
2,3,Sparta Praha,1578.51,2,-3
2,3,Sturm Graz,1549.39,4,0
2,3,Shakhtar Donetsk,1707.4,2,-2
2,3,Fenerbahçe,1649.12,3,0
2,3,Stuttgart,1554.31,4,-1
2,3,Benfica,1729.49,3,1
2,3,Feyenoord,1674.84,0,-4
2,3,Club Brugge,1746.99,7,3
2,3,AC Milan,1863.31,5,1
2,3,Stade Brestois,1522.62,1,-6
2,4,Borussia Dortmund,1900.97,8,3
2,4,Real Madrid,2086.69,9,9
2,4,PSV,1672.15,3,-9
2,4,Manchester City,2008.97,12,10
2,4,Bayern Munich,2070.2,10,5
